"year","week","Detected","total_vol","smoothed_total_vol.fit","smoothed_Detected.fit","diff_smoothed_total_vol.fit","diff_smoothed_Detected.fit"
2019,42,0,50,90.5761483471501,46.1770988174888,38.05996955796,18.969368810877
2019,43,0,14,79.5353389422031,40.6049640396659,-11.040809404947,-5.57213477782292
2019,44,0,0,68.2836606234568,35.323106399133,-11.2516783187463,-5.28185764053292
2019,45,0,74,36.618035182434,18.4890625172688,-31.6656254410228,-16.8340438818642
2019,46,0,22,36.0530787974717,18.225931202806,-0.564956384962272,-0.263131314462818
2019,47,2,139,40.4621455037703,20.7740308749464,4.40906670629857,2.54809967214044
2019,48,0,38,8.76979759227637,5.49507288160672,-31.6923479114939,-15.2789579933397
2019,49,0,33,123.40613737391,62.8287282405093,114.636339781633,57.3336553589026
2019,50,1,149,27.2230135820141,13.6952114943052,-96.1831237918958,-49.1335167462041
2019,51,1,141,15.5116725313317,7.88326538754367,-11.7113410506824,-5.81194610676155
2019,52,1,47,25.6921730297745,12.8472561838045,10.1805004984429,4.96399079626083
